,rep1_average,rep1_average_indel,average_between_bio_replicates,average_indel_between_bio_replicates,locus
01libbestpeg,0.0,5.7057057057057055,0.0,5.7057057057057055,01
01libendopeg,0.0,4.564564564564565,0.0,4.564564564564565,01
01libworstpeg,0.0,3.6036036036036037,0.0,3.6036036036036037,01
03libbestpeg,0.0,5.1493587738504845,0.0,5.1493587738504845,03
03libendopeg,0.0,3.945104785736628,0.0,3.945104785736628,03
03libworstpeg,0.0,3.0575539568345325,0.0,3.0575539568345325,03
05libbestpeg,0.008216251745953496,3.532988250760003,0.008216251745953496,3.532988250760003,05
05libendopeg,0.008216251745953496,3.459041985046422,0.008216251745953496,3.459041985046422,05
05libworstpeg,0.008216251745953496,2.9742831320351657,0.008216251745953496,2.9742831320351657,05
06libbestpeg,0.01673546803525605,4.624567667075756,0.01673546803525605,4.624567667075756,06
06libendopeg,0.01673546803525605,5.24377998438023,0.01673546803525605,5.24377998438023,06
06libworstpeg,0.01673546803525605,3.246680798839674,0.01673546803525605,3.246680798839674,06
09libbestpeg,0.0,4.3476611404074506,0.0,4.3476611404074506,09
09libendopeg,0.0,4.3135172047498,0.0,4.3135172047498,09
09libworstpeg,0.0,5.24299100876361,0.0,5.24299100876361,09
17libbestpeg,0.00508931752252023,2.722784874548323,0.00508931752252023,2.722784874548323,17
17libendopeg,0.00508931752252023,1.394473001170543,0.00508931752252023,1.394473001170543,17
17libworstpeg,0.00508931752252023,2.2749249325665426,0.00508931752252023,2.2749249325665426,17
20libbestpeg,0.0,3.058153283886918,0.0,3.058153283886918,20
20libendopeg,0.0,2.6658067290121465,0.0,2.6658067290121465,20
20libworstpeg,0.005374610340750295,1.6768784263140921,0.005374610340750295,1.6768784263140921,20
26libbestpeg,0.0,2.3678694839404066,0.0,2.3678694839404066,26
26libendopeg,0.0,2.41318756018807,0.0,2.41318756018807,26
26libworstpeg,0.0,3.0533053871863136,0.0,3.0533053871863136,26
28libbestpeg,0.0,47.81487896241995,0.0,47.81487896241995,28
28libendopeg,0.0,47.50473275063439,0.0,47.50473275063439,28
28libworstpeg,0.0,47.17847504732751,0.0,47.17847504732751,28
31libbestpeg,0.0,2.9518746502518187,0.0,2.9518746502518187,31
31libendopeg,0.0,2.567151650811416,0.0,2.567151650811416,31
31libworstpeg,0.0,4.148013430330162,0.0,4.148013430330162,31
33libbestpeg,0.006058770069675856,3.629203271735838,0.006058770069675856,3.629203271735838,33
33libendopeg,0.006058770069675856,2.7991517721902457,0.006058770069675856,2.7991517721902457,33
33libworstpeg,0.006058770069675856,2.381096637382611,0.006058770069675856,2.381096637382611,33
EMX12b10libbestpeg,0.0,4.189220993174865,0.0,4.189220993174865,EM
EMX12b10libendopeg,0.0,2.565309484584608,0.0,2.565309484584608,EM
EMX12b10libworstpeg,0.0,1.8121911037891267,0.0,1.8121911037891267,EM
FANCF2b10libbestpeg,0.022242753995140814,3.9728980597474592,0.022242753995140814,3.9728980597474592,FA
FANCF2b10libendopeg,0.022242753995140814,2.7923211169284468,0.022242753995140814,2.7923211169284468,FA
FANCF2b10libworstpeg,0.023952095808383235,2.2104362703165097,0.023952095808383235,2.2104362703165097,FA
HEK32b20libbestpeg,0.007926233189780443,4.9063383444740944,0.007926233189780443,4.9063383444740944,HE
HEK32b20libendopeg,0.007926233189780443,4.845570556685778,0.007926233189780443,4.845570556685778,HE
HEK32b20libworstpeg,0.007926233189780443,1.6565827366641126,0.007926233189780443,1.6565827366641126,HE
RNF22b14libbestpeg,0.02297200287150036,3.4659009332376165,0.02297200287150036,3.4659009332376165,RN
RNF22b14libendopeg,0.021536252692031587,3.358219669777459,0.021536252692031587,3.358219669777459,RN
RNF22b14libworstpeg,0.02297200287150036,2.0717875089734386,0.02297200287150036,2.0717875089734386,RN
