seq_id,locus,HEK293T_averageedited,HEK293T_average_unintendedediting,K562_averageedited,K562_average_unintendedediting,PRIDICT_editing,PRIDICT_unintended_editing,HEK_integrated_editing,HEK_ratio_integ_endo,HEK293_ATAC,HEK293_DNAse,HEK293_H3K4me3,HEK293_H3K27me3,HEK293_H3K9me3,HEK293_H3K36me3,K562_ATAC,K562_DNAse,K562_H3K4me3,K562_H3K27me3,K562_H3K9me3,K562_H3K36me3
seq_0,1,12.48776437,9.243645249,2.002137524,0,69.70211267,13.55316415,,,0.645429456,0.74511378,1.150266795,-0.023835287,-1.189688439,0.926740175,0.130164194,1.020299209,1.636222273,-0.552163723,-0.161173275,0.954179305
seq_1,1,46.57431433,0.583213746,7.680944685,0,74.24872875,6.58547096,73.4760644,1.577609149,0.645429456,0.74511378,1.150266795,-0.023835287,-1.189688439,0.926740175,0.130164194,1.020299209,1.636222273,-0.552163723,-0.161173275,0.954179305
seq_2,1,14.39840281,1.123777227,2.375631727,0,44.07352269,31.14768028,,,0.645429456,0.74511378,1.150266795,-0.023835287,-1.189688439,0.926740175,0.130164194,1.020299209,1.636222273,-0.552163723,-0.161173275,0.954179305
seq_3,3,1.236929839,0,0.735510881,0,40.86214364,17.56931946,,,-0.263748013,-0.318142549,0.094225834,-0.343219187,-1.103855048,0.324100005,0.193492592,-0.076767224,0.534378865,-0.530339422,2.705094656,0.575454935
seq_4,3,12.99633975,1.848308321,6.562634837,1.898526014,42.31843352,23.60813797,8.482630777,0.652693831,-0.263748013,-0.318142549,0.094225834,-0.343219187,-1.103855048,0.324100005,0.193492592,-0.076767224,0.534378865,-0.530339422,2.705094656,0.575454935
seq_5,3,9.620605431,8.344394501,5.18810266,6.242666345,1.266191695,30.09968519,,,-0.263748013,-0.318142549,0.094225834,-0.343219187,-1.103855048,0.324100005,0.193492592,-0.076767224,0.534378865,-0.530339422,2.705094656,0.575454935
seq_6,5,0.393359111,0.47037959,0.149932153,0,5.329375193,0.902486825,,,-0.847938063,-0.746374226,-0.638767144,-0.346748576,-0.506662725,0.43910254,-0.727625633,-0.721936293,-0.625860331,-0.754600368,-0.148191849,0.65415481
seq_7,5,0.178713908,0.825971781,0.080201005,0,1.754682232,0.71019819,1.173419639,6.565911136,-0.847938063,-0.746374226,-0.638767144,-0.346748576,-0.506662725,0.43910254,-0.727625633,-0.721936293,-0.625860331,-0.754600368,-0.148191849,0.65415481
seq_8,5,0.108455573,0.621530776,0.034032555,0,3.35823955,1.104690433,,,-0.847938063,-0.746374226,-0.638767144,-0.346748576,-0.506662725,0.43910254,-0.727625633,-0.721936293,-0.625860331,-0.754600368,-0.148191849,0.65415481
seq_9,6,0.240455259,0,0.042747747,0,3.447413556,0.785790831,,,-0.77260419,-0.695628216,-0.635668446,-0.257769018,-0.729212207,2.995693555,-0.715114693,-0.690106761,-0.618930357,-0.631234649,0.199811495,2.05528296
seq_10,6,0.286066242,0,0.06027478,0,7.150627114,1.004792582,27.23651683,95.21052411,-0.77260419,-0.695628216,-0.635668446,-0.257769018,-0.729212207,2.995693555,-0.715114693,-0.690106761,-0.618930357,-0.631234649,0.199811495,2.05528296
seq_11,6,1.461187801,0,0.687902908,0,2.285262644,0.633138428,,,-0.77260419,-0.695628216,-0.635668446,-0.257769018,-0.729212207,2.995693555,-0.715114693,-0.690106761,-0.618930357,-0.631234649,0.199811495,2.05528296
seq_12,9,31.39764435,0,4.624866616,0,71.16224885,7.193429172,,,-0.203406714,-0.427744488,-0.617227294,-0.201432912,-0.484022613,0.27616021,-0.185190582,-0.300863969,-0.379833485,-0.611665221,0.233381426,0.8335368
seq_13,9,9.324157258,0,2.217711332,0.054371563,72.0926404,9.575995803,43.72592254,4.689530789,-0.203406714,-0.427744488,-0.617227294,-0.201432912,-0.484022613,0.27616021,-0.185190582,-0.300863969,-0.379833485,-0.611665221,0.233381426,0.8335368
